,mmr,planet,m1,m,q,a
0,1R-25,Mercury,1,-25,24,3.309645021481565
1,1R-24,Mercury,1,-24,23,3.2207887286871593
2,1R-23,Mercury,1,-23,22,3.130689287888107
3,1R-22,Mercury,1,-22,21,3.0392740625835892
4,1R-21,Mercury,1,-21,20,2.946462646415637
5,1R-20,Mercury,1,-20,19,2.852165618388481
6,1R-19,Mercury,1,-19,18,2.756283025654208
7,1R-18,Mercury,1,-18,17,2.6587025165462035
8,1R-17,Mercury,1,-17,16,2.559297019007311
9,1R-16,Mercury,1,-16,15,2.4579218199889534
10,1R-15,Mercury,1,-15,14,2.3544108434293296
11,1R-14,Mercury,1,-14,13,2.2485718376689077
12,1R-13,Mercury,1,-13,12,2.1401800501986337
13,1R-12,Mercury,1,-12,11,2.0289697582685498
14,1R-11,Mercury,1,-11,10,1.914622683924286
15,1R-10,Mercury,1,-10,9,1.7967517501970378
16,1R-9,Mercury,1,-9,8,1.674877633002517
17,1R-8,Mercury,1,-8,7,1.5483937199999998
18,1R-7,Mercury,1,-7,6,1.4165114952399274
19,1R-6,Mercury,1,-6,5,1.278170854021329
20,1R-5,Mercury,1,-5,4,1.1318826757543514
21,1R-4,Mercury,1,-4,3,0.9754269206765142
22,1R-3,Mercury,1,-3,2,0.8051971821717898
23,1R-2,Mercury,1,-2,1,0.6144804549972384
24,1R-1,Mercury,1,-1,0,0.38709843
25,1R+1,Mercury,1,1,2,0.38709843
26,1R+2,Mercury,1,2,3,0.6144804549972384
27,1R+3,Mercury,1,3,4,0.8051971821717898
28,1R+4,Mercury,1,4,5,0.9754269206765142
29,1R+5,Mercury,1,5,6,1.1318826757543514
30,1R+6,Mercury,1,6,7,1.278170854021329
31,1R+7,Mercury,1,7,8,1.4165114952399274
32,1R+8,Mercury,1,8,9,1.5483937199999998
33,1R+9,Mercury,1,9,10,1.674877633002517
34,1R+10,Mercury,1,10,11,1.7967517501970378
35,1R+11,Mercury,1,11,12,1.914622683924286
36,1R+12,Mercury,1,12,13,2.0289697582685498
37,1R+13,Mercury,1,13,14,2.1401800501986337
38,1R+14,Mercury,1,14,15,2.2485718376689077
39,1R+15,Mercury,1,15,16,2.3544108434293296
40,1R+16,Mercury,1,16,17,2.4579218199889534
41,1R+17,Mercury,1,17,18,2.559297019007311
42,1R+18,Mercury,1,18,19,2.6587025165462035
43,1R+19,Mercury,1,19,20,2.756283025654208
44,1R+20,Mercury,1,20,21,2.852165618388481
45,1R+21,Mercury,1,21,22,2.946462646415637
46,1R+22,Mercury,1,22,23,3.0392740625835892
47,1R+23,Mercury,1,23,24,3.130689287888107
48,1R+24,Mercury,1,24,25,3.2207887286871593
49,2R-25,Mercury,2,-25,23,2.084945715122197
50,2R-23,Mercury,2,-23,21,1.9722106672453084
51,2R-21,Mercury,2,-21,19,1.8561551554740081
52,2R-19,Mercury,2,-19,17,1.7363495017448338
53,2R-17,Mercury,2,-17,15,1.6122560935902555
54,2R-15,Mercury,2,-15,13,1.4831858908686777
55,2R-13,Mercury,2,-13,11,1.3482289479051626
56,2R-11,Mercury,2,-11,9,1.2061367110412131
57,2R-9,Mercury,2,-9,7,1.0551067929089857
58,2R-7,Mercury,2,-7,5,0.8923463251354231
59,2R-5,Mercury,2,-5,3,0.7130414045971203
60,2R-3,Mercury,2,-3,1,0.5072424395671374
61,2R-1,Mercury,2,-1,1,0.24385673016912854
62,2R+1,Mercury,2,1,3,0.24385673016912854
63,2R+3,Mercury,2,3,5,0.5072424395671374
64,2R+5,Mercury,2,5,7,0.7130414045971203
65,2R+7,Mercury,2,7,9,0.8923463251354231
66,2R+9,Mercury,2,9,11,1.0551067929089857
67,2R+11,Mercury,2,11,13,1.2061367110412131
68,2R+13,Mercury,2,13,15,1.3482289479051626
69,2R+15,Mercury,2,15,17,1.4831858908686777
70,2R+17,Mercury,2,17,19,1.6122560935902555
71,2R+19,Mercury,2,19,21,1.7363495017448338
72,2R+21,Mercury,2,21,23,1.8561551554740081
73,2R+23,Mercury,2,23,25,1.9722106672453084
74,3R-25,Mercury,3,-25,22,1.5911113700339472
75,3R-23,Mercury,3,-23,20,1.5050784267408763
76,3R-22,Mercury,3,-22,19,1.4611305702692108
77,3R-20,Mercury,3,-20,17,1.371178212522117
78,3R-19,Mercury,3,-19,16,1.3250826697984617
79,3R-17,Mercury,3,-17,14,1.230381675317442
80,3R-16,Mercury,3,-16,13,1.1816455629094238
81,3R-14,Mercury,3,-14,11,1.0810005888944407
82,3R-13,Mercury,3,-13,10,1.0288912525931557
83,3R-11,Mercury,3,-11,8,0.9204545810635394
84,3R-10,Mercury,3,-10,7,0.8637881465569206
85,3R-8,Mercury,3,-8,5,0.7443900591122299
86,3R-7,Mercury,3,-7,4,0.68098769844843
87,3R-5,Mercury,3,-5,2,0.544152434248371
88,3R-4,Mercury,3,-4,1,0.4689363524039936
89,3R-2,Mercury,3,-2,1,0.29541139072735595
90,3R-1,Mercury,3,-1,2,0.18609751477805747
91,3R+1,Mercury,3,1,4,0.18609751477805747
92,3R+2,Mercury,3,2,5,0.29541139072735595
93,3R+4,Mercury,3,4,7,0.4689363524039936
94,3R+5,Mercury,3,5,8,0.544152434248371
95,3R+7,Mercury,3,7,10,0.68098769844843
96,3R+8,Mercury,3,8,11,0.7443900591122299
97,3R+10,Mercury,3,10,13,0.8637881465569206
98,3R+11,Mercury,3,11,14,0.9204545810635394
99,3R+13,Mercury,3,13,16,1.0288912525931557
100,3R+14,Mercury,3,14,17,1.0810005888944407
101,3R+16,Mercury,3,16,19,1.1816455629094238
102,3R+17,Mercury,3,17,20,1.230381675317442
103,3R+19,Mercury,3,19,22,1.3250826697984617
104,3R+20,Mercury,3,20,23,1.371178212522117
105,3R+22,Mercury,3,22,25,1.4611305702692108
106,4R-25,Mercury,4,-25,21,1.3134334971852877
107,4R-23,Mercury,4,-23,19,1.2424148672447886
108,4R-21,Mercury,4,-21,17,1.169304476126297
109,4R-19,Mercury,4,-19,15,1.0938316436113955
110,4R-17,Mercury,4,-17,13,1.0156576950678207
111,4R-15,Mercury,4,-15,11,0.9343485624062635
112,4R-13,Mercury,4,-13,9,0.8493310157716664
113,4R-11,Mercury,4,-11,7,0.7598185156458973
114,4R-9,Mercury,4,-9,5,0.6646756291365509
115,4R-7,Mercury,4,-7,3,0.562142959417227
116,4R-5,Mercury,4,-5,1,0.4491879375492595
117,4R-3,Mercury,4,-3,1,0.3195427135053323
118,4R-1,Mercury,4,-1,3,0.15362011374930962
119,4R+1,Mercury,4,1,5,0.15362011374930962
