,mmr,planet1,planet2,m1,m2,m,q,a
0,1R-7V+1,Mercury,Venus,1,-7,1,5,0.2675275794880519
1,1R-7V+2,Mercury,Venus,1,-7,2,4,0.42467376495362236
2,1R-7V+3,Mercury,Venus,1,-7,3,3,0.5564800918794014
3,1R-7V+4,Mercury,Venus,1,-7,4,2,0.6741274974673767
4,1R-7V+5,Mercury,Venus,1,-7,5,1,0.782255205401316
5,1R-7V+6,Mercury,Venus,1,-7,6,0,0.8833557782087644
6,1R-6V+1,Mercury,Venus,1,-6,1,4,0.3170611278371341
7,1R-6V+2,Mercury,Venus,1,-6,2,3,0.5033033806910067
8,1R-6V+3,Mercury,Venus,1,-6,3,2,0.6595139658080746
9,1R-6V+4,Mercury,Venus,1,-6,4,1,0.7989437071909786
10,1R-6V+5,Mercury,Venus,1,-6,5,0,0.9270912069644652
11,1R-6V+6,Mercury,Venus,1,-6,6,1,1.0469104088085681
12,1R-5V+1,Mercury,Venus,1,-5,1,3,0.3984660045470573
13,1R-5V+2,Mercury,Venus,1,-5,2,2,0.6325255595476635
14,1R-5V+3,Mercury,Venus,1,-5,3,1,0.8288422490425703
15,1R-5V+4,Mercury,Venus,1,-5,4,0,1.0040695882377328
16,1R-5V+5,Mercury,Venus,1,-5,5,1,1.1651178490906695
17,1R-5V+6,Mercury,Venus,1,-5,6,2,1.315699220505493
18,1R-4V+1,Mercury,Venus,1,-4,1,2,0.565724439316354
19,1R-4V+2,Mercury,Venus,1,-4,2,1,0.8980308120139727
20,1R-4V+3,Mercury,Venus,1,-4,3,0,1.1767506092323743
21,1R-4V+4,Mercury,Venus,1,-4,4,1,1.4255277445173593
22,1R-4V+5,Mercury,Venus,1,-4,5,2,1.6541719024836163
23,1R-4V+6,Mercury,Venus,1,-4,6,3,1.8679528160099346
24,1R-3V+1,Mercury,Venus,1,-3,1,1,1.2395898848773033
25,1R-3V+2,Mercury,Venus,1,-3,2,0,1.9677100206685936
26,1R-3V+3,Mercury,Venus,1,-3,3,1,2.5783767994087214
27,1R-3V+4,Mercury,Venus,1,-3,4,2,3.1233752031246893
28,1R-3V+5,Mercury,Venus,1,-3,5,3,3.624183991583388
29,1R-3V+6,Mercury,Venus,1,-3,6,4,4.092335731602603
30,1R-2V-5,Mercury,Venus,1,-2,-5,6,3.1341032294964966
31,1R-2V-4,Mercury,Venus,1,-2,-4,5,2.701006328860324
32,1R-2V-3,Mercury,Venus,1,-2,-3,4,2.2297092350593544
33,1R-2V-2,Mercury,Venus,1,-2,-2,3,1.7016302882722345
34,1R-2V-1,Mercury,Venus,1,-2,-1,2,1.0719759693622277
35,1R-1V-6,Mercury,Venus,1,-1,-6,6,1.7799496681429858
36,1R-1V-5,Mercury,Venus,1,-1,-5,5,1.5762416250269757
37,1R-1V-4,Mercury,Venus,1,-1,-4,4,1.3583703108192964
38,1R-1V-3,Mercury,Venus,1,-1,-3,3,1.121313805194947
39,1R-1V-2,Mercury,Venus,1,-1,-2,2,0.8557249026194642
40,1R-1V-1,Mercury,Venus,1,-1,-1,1,0.5390743867679715
41,1R+1V-7,Mercury,Venus,1,1,-7,5,1.1364799370486942
42,1R+1V-6,Mercury,Venus,1,1,-6,4,1.0254890330838082
43,1R+1V-5,Mercury,Venus,1,1,-5,3,0.9081216691347342
44,1R+1V-4,Mercury,Venus,1,1,-4,2,0.782596323217658
